itemid,hotelname,hotelid,roomtype_tokens_str,amenity_vector
190,Hotel Pragant,129684,double,"{'hair dryer', 'slippers', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'additional toilet', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'washing machine', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
191,Hotel Pragant,129684,double,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'ipod docking station', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'washing machine', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
192,Hotel Pragant,129684,single,"{'hair dryer', 'slippers', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'washing machine', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'extra long bed', 'free wi-fi in all rooms', 'soundproofing'}"
193,Quellenhotel Heiltherme Bad Waltersdorf - 2-Thermenresort,129704,double,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
194,Quellenhotel Heiltherme Bad Waltersdorf - 2-Thermenresort,129704,single,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
195,Quellenhotel Heiltherme Bad Waltersdorf - 2-Thermenresort,129704,double,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
196,Quellenhotel Heiltherme Bad Waltersdorf - 2-Thermenresort,129704,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
197,Hotel Donauhof,129768,double,"{'safebox', 'telephone', 'carpeting', 'seating area', 'wake-up service', 'hair dryer', 'heating', 'minibar', 'dvdcd player', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
198,Hotel Donauhof,129768,double,"{'safebox', 'telephone', 'carpeting', 'seating area', 'wake-up service', 'hair dryer', 'heating', 'minibar', 'dvdcd player', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
199,Sport- und Wellnesshotel Held,129814,double,"{'carpeting', 'hair dryer', 'slippers', 'closet', 'additional bathroom', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'additional toilet', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
200,Sport- und Wellnesshotel Held,129814,suite,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'additional toilet', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
201,Sport- und Wellnesshotel Held,129814,double,"{'safebox', 'smoke detector', 'carpeting', 'hair dryer', 'clothes rack', 'heating', 'slippers', 'toiletries', 'closet', 'towels', 'free bottled water', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
202,Sport- und Wellnesshotel Held,129814,suite,"{'hair dryer', 'slippers', 'closet', 'fireplace', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
203,Sport- und Wellnesshotel Held,129814,family,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'dressing room', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'whirlpool bathtub', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
204,Sport- und Wellnesshotel Held,129814,single,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
205,Sport- und Wellnesshotel Held,129814,suite,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
206,Sport- und Wellnesshotel Held,129814,double,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
207,Sport- und Wellnesshotel Held,129814,superior,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
208,Sport- und Wellnesshotel Held,129814,superior,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
209,Sport- und Wellnesshotel Held,129814,double,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
210,Sport- und Wellnesshotel Held,129814,suite,"{'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
211,Alp Art Hotel,129841,suite,"{'hair dryer', 'alarm clock', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'whirlpool bathtub', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
212,Alp Art Hotel,129841,triple,"{'hair dryer', 'alarm clock', 'kitchenware', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
