itemid,hotelname,hotelid,roomtype_tokens_str,amenity_vector
405,Hotel Landgasthof Gappen,236608,double,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'telephone', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms'}"
406,Hotel Landgasthof Gappen,236608,double,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'telephone', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
407,Hotel Landgasthof Gappen,236608,double,"{'safebox', 'smoke detector', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'refrigerator', 'toiletries', 'closet', 'towels', 'woodenparqueted flooring', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
408,Hotel Landgasthof Gappen,236608,single,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
409,Hotel Landgasthof Gappen,236608,double,"{'safebox', 'smoke detector', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
410,Flemings Selection Hotel Wien-City,239696,single,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'additional toilet', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'toiletries', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
411,Flemings Selection Hotel Wien-City,239696,suite,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'additional toilet', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
412,Flemings Selection Hotel Wien-City,239696,single,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'additional toilet', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
413,Flemings Selection Hotel Wien-City,239696,single,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'additional toilet', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
414,Flemings Selection Hotel Wien-City,239696,deluxe,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'tv [flat screen]', 'telephone', 'ironing facilities', 'additional toilet', 'linens', 'desk', 'air conditioning', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
415,Flemings Selection Hotel Wien-City,239696,suite,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'tv [flat screen]', 'telephone', 'ironing facilities', 'additional toilet', 'linens', 'desk', 'air conditioning', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
416,Flemings Selection Hotel Wien-City,239696,house,"{'safebox', 'telephone', 'coffeetea maker', 'hair dryer', 'toiletries', 'minibar', 'free bottled water', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
417,Flemings Selection Hotel Wien-City,239696,standard,"{'safebox', 'telephone', 'coffeetea maker', 'hair dryer', 'toiletries', 'minibar', 'free bottled water', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
418,Flemings Selection Hotel Wien-City,239696,standard,"{'safebox', 'telephone', 'coffeetea maker', 'hair dryer', 'toiletries', 'towels', 'minibar', 'free bottled water', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
419,Flemings Selection Hotel Wien-City,239696,single,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
420,Flemings Selection Hotel Wien-City,239696,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
421,Flemings Selection Hotel Wien-City,239696,twin,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
422,Hotel Garni Birkenhof,241578,suite,"{'safebox', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'refrigerator', 'toiletries', 'closet', 'towels', 'woodenparqueted flooring', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'interconnecting rooms'}"
423,Hotel Garni Birkenhof,241578,double,"{'safebox', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'refrigerator', 'toiletries', 'closet', 'towels', 'woodenparqueted flooring', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
424,Hotel Garni Birkenhof,241578,double,"{'safebox', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'refrigerator', 'toiletries', 'closet', 'towels', 'woodenparqueted flooring', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
425,Hotel Garni Birkenhof,241578,double,"{'safebox', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'refrigerator', 'toiletries', 'closet', 'towels', 'woodenparqueted flooring', 'linens', 'satellitecable', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
426,Hotel Garni Birkenhof,241578,double,"{'safebox', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
427,Hotel Backelar Wirt Superior,241932,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'tv [flat screen]', 'linens', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms'}"
428,Hotel Backelar Wirt Superior,241932,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'tv [flat screen]', 'linens', 'sofa', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms'}"
429,Hotel Backelar Wirt Superior,241932,family,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'tv [flat screen]', 'linens', 'sofa', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms'}"
430,Hotel Backelar Wirt Superior,241932,double,"{'safebox', 'smoke detector', 'carpeting', 'seating area', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'closet', 'towels', 'linens', 'tv [flat screen]', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
431,Hotel Auriga,248928,double,"{'safebox', 'telephone', 'carpeting', 'hair dryer', 'slippers', 'heating', 'toiletries', 'closet', 'towels', 'minibar', 'sofa', 'satellitecable', 'mirror', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
432,Hotel Auriga,248928,suite,"{'safebox', 'telephone', 'carpeting', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'minibar', 'sofa', 'satellitecable', 'mirror', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
433,Hotel Auriga,248928,suite,"{'safebox', 'telephone', 'carpeting', 'hair dryer', 'slippers', 'toiletries', 'woodenparqueted flooring', 'towels', 'minibar', 'sofa', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
434,Hotel Auriga,248928,suite,"{'safebox', 'telephone', 'seating area', 'hair dryer', 'slippers', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'minibar', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
435,Hotel Auriga,248928,suite,"{'dressing room', 'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'slippers', 'woodenparqueted flooring', 'towels', 'minibar', 'linens', 'satellitecable', 'mirror', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
436,Hotel Auriga,248928,suite,"{'safebox', 'telephone', 'hair dryer', 'woodenparqueted flooring', 'towels', 'minibar', 'sofa', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
437,Hotel Auriga,248928,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'woodenparqueted flooring', 'towels', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
438,Hotel Auriga,248928,suite,"{'safebox', 'telephone', 'carpeting', 'hair dryer', 'minibar', 'sofa', 'satellitecable', 'shower', 'air conditioning', 'free wi-fi in all rooms'}"
439,Hotel Auriga,248928,suite,"{'safebox', 'telephone', 'hair dryer', 'woodenparqueted flooring', 'sofa', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
440,Der Hubertushof,249350,vip,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
441,Rilano Resort Steinplatte,251488,studio,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'additional toilet', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
442,Rilano Resort Steinplatte,251488,single,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
443,Rilano Resort Steinplatte,251488,single,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
444,Rilano Resort Steinplatte,251488,family,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
445,Hotel Alpina,252607,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'free bottled water', 'dressing room', 'linens', 'satellitecable', 'desk', 'air conditioning', 'private entrance', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
446,Hotel Alpina,252607,family,"{'dressing room', 'safebox', 'private entrance', 'carpeting', 'smoke detector', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'towels', 'free bottled water', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'soundproofing'}"
447,Hotel Alpina,252607,single,"{'dressing room', 'safebox', 'private entrance', 'carpeting', 'smoke detector', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'towels', 'free bottled water', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'soundproofing'}"
448,Hotel Senningerbrau,260205,double,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'hair dryer', 'slippers', 'heating', 'closet', 'towels', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'soundproofing'}"
449,Hotel Senningerbrau,260205,single,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'hair dryer', 'slippers', 'heating', 'closet', 'towels', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'soundproofing'}"
450,Hotel Senningerbrau,260205,triple,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'hair dryer', 'slippers', 'heating', 'closet', 'towels', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'soundproofing'}"
451,Happy Stubai,260966,family,"{'safebox', 'smoke detector', 'carpeting', 'seating area', 'telephone', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'linens', 'tv [flat screen]', 'separate dining area', 'sofa', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
452,Alpines Lifestyle Hotel Tannenhof,261554,double,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms'}"
453,Alpines Lifestyle Hotel Tannenhof,261554,double,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms'}"
454,Alpines Lifestyle Hotel Tannenhof,261554,suite,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms'}"
455,Alpines Lifestyle Hotel Tannenhof,261554,suite,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms'}"
456,Alpenland Sporthotel St. Johann im Pongau,261557,double,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'fan', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms'}"
457,Alpenland Sporthotel St. Johann im Pongau,261557,double,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'fan', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms'}"
458,Alpenland Sporthotel St. Johann im Pongau,261557,suite,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'fan', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms'}"
459,Alpenland Sporthotel St. Johann im Pongau,261557,double,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
460,B&B Appartements Glungezer,265102,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'fan', 'safebox', 'towels', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'private entrance', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms'}"
461,Hotel Restaurant Romerhof,270693,double,"{'safebox', 'telephone', 'carpeting', 'seating area', 'hair dryer', 'heating', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
462,JUFA Hotel Leibnitz,277909,quadruple,"{'safebox', 'smoke detector', 'seating area', 'hair dryer', 'toiletries', 'towels', 'free bottled water', 'linens', 'tv [flat screen]', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
463,JUFA Hotel Leibnitz,277909,triple,"{'safebox', 'smoke detector', 'seating area', 'hair dryer', 'toiletries', 'towels', 'free bottled water', 'linens', 'tv [flat screen]', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
464,Ferienhotel Trattnig,294376,executive,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'free bottled water', 'tv [flat screen]', 'telephone', 'ironing facilities', 'linens', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'extra long bed', 'free wi-fi in all rooms', 'interconnecting rooms'}"
465,Ferienhotel Trattnig,294376,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms'}"
466,Ferienhotel Trattnig,294376,twin,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'tv [flat screen]', 'telephone', 'ironing facilities', 'linens', 'desk', 'air conditioning', 'smoke detector', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms'}"
467,Living Hotel Kaiser Franz Joseph by Derag,298167,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'separate dining area', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'microwave', 'towels', 'minibar', 'free bottled water', 'dvdcd player', 'telephone', 'blackout curtains', 'additional toilet', 'linens', 'sofa', 'satellitecable', 'trouser press', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'extra long bed', 'dishwasher', 'free wi-fi in all rooms'}"
468,Living Hotel Kaiser Franz Joseph by Derag,298167,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'extra long bed', 'free wi-fi in all rooms', 'interconnecting rooms'}"
469,Living Hotel Kaiser Franz Joseph by Derag,298167,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'extra long bed', 'free wi-fi in all rooms', 'interconnecting rooms'}"
470,Living Hotel Kaiser Franz Joseph by Derag,298167,business,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'extra long bed', 'free wi-fi in all rooms'}"
471,Living Hotel Kaiser Franz Joseph by Derag,298167,economy,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'extra long bed', 'free wi-fi in all rooms'}"
472,Living Hotel Kaiser Franz Joseph by Derag,298167,business,"{'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'microwave', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'extra long bed', 'free wi-fi in all rooms'}"
473,Living Hotel Kaiser Franz Joseph by Derag,298167,double,"{'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'microwave', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'extra long bed', 'free wi-fi in all rooms'}"
474,Living Hotel Kaiser Franz Joseph by Derag,298167,double,"{'safebox', 'telephone', 'hair dryer', 'refrigerator', 'heating', 'toiletries', 'minibar', 'free bottled water', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
475,Living Hotel Kaiser Franz Joseph by Derag,298167,single,"{'safebox', 'telephone', 'hair dryer', 'refrigerator', 'toiletries', 'minibar', 'free bottled water', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
476,Living Hotel Kaiser Franz Joseph by Derag,298167,guestroom,"{'safebox', 'telephone', 'hair dryer', 'refrigerator', 'toiletries', 'towels', 'minibar', 'free bottled water', 'satellitecable', 'shower', 'trouser press', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
477,Hotel Wenger Alpenhof,306747,double,"{'safebox', 'ironing facilities', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'closet', 'satellitecable', 'shower', 'desk', 'air conditioning'}"
478,Gasthof-Pension Waldfriede,307649,family,"{'safebox', 'ironing facilities', 'carpeting', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv [flat screen]', 'sofa', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
479,Gasthof-Pension Waldfriede,307649,double,"{'safebox', 'ironing facilities', 'carpeting', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv [flat screen]', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
480,All Inklusive Hotel Burgstallerhof,309584,double,"{'private entrance', 'safebox', 'telephone', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
481,All Inklusive Hotel Burgstallerhof,309584,double,"{'safebox', 'telephone', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
482,All Inklusive Hotel Burgstallerhof,309584,single,"{'safebox', 'telephone', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
483,All Inklusive Hotel Burgstallerhof,309584,family,"{'safebox', 'telephone', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
484,All Inklusive Hotel Burgstallerhof,309584,triple,"{'safebox', 'telephone', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'tv', 'desk', 'air conditioning', 'mosquito net', 'free wi-fi in all rooms'}"
485,Hotel & Chalet Montana,320895,family,"{'hair dryer', 'slippers', 'alarm clock', 'safebox', 'wake-up service', 'towels', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms', 'interconnecting rooms'}"
486,Hotel & Chalet Montana,320895,double,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'slippers', 'heating', 'alarm clock', 'toiletries', 'towels', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'interconnecting rooms'}"
487,Hotel & Chalet Montana,320895,single,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'slippers', 'heating', 'alarm clock', 'toiletries', 'towels', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'interconnecting rooms'}"
488,Hotel & Chalet Montana,320895,suite,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'slippers', 'heating', 'alarm clock', 'toiletries', 'towels', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'interconnecting rooms'}"
489,Pension Thermensonne,321868,double,"{'safebox', 'smoke detector', 'high chair', 'hair dryer', 'heating', 'alarm clock', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'separate dining area', 'satellitecable', 'mirror', 'sofa', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
490,Pension Thermensonne,321868,single,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
491,Hotel Post,328254,double,"{'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'heating', 'woodenparqueted flooring', 'closet', 'extra long bed', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'laptop safe box', 'soundproofing'}"
492,Hotel Post,328254,suite,"{'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'heating', 'woodenparqueted flooring', 'closet', 'extra long bed', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'laptop safe box', 'soundproofing'}"
493,Hotel Post,328254,double,"{'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'heating', 'woodenparqueted flooring', 'closet', 'extra long bed', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'laptop safe box', 'soundproofing'}"
